Region,Country,State,City,Month,Day,Year,AvgTemperature,Date,co2,ghg
North America,US,Alaska,Anchorage,1,30,1995,28.8,1995-01-30,4708.31,5843.9
North America,US,Alaska,Anchorage,1,31,1995,29.9,1995-01-31,4708.31,5843.9
North America,US,Alaska,Anchorage,2,1,1995,22.6,1995-02-01,4708.31,5843.9
North America,US,Alaska,Anchorage,2,2,1995,17.4,1995-02-02,4708.31,5843.9
North America,US,Alaska,Anchorage,2,3,1995,21,1995-02-03,4708.31,5843.9
North America,US,Alaska,Anchorage,2,4,1995,23.4,1995-02-04,4708.31,5843.9
North America,US,Alaska,Anchorage,2,5,1995,33.8,1995-02-05,4708.31,5843.9
North America,US,Alaska,Anchorage,2,6,1995,39.5,1995-02-06,4708.31,5843.9
North America,US,Alaska,Anchorage,2,7,1995,32.9,1995-02-07,4708.31,5843.9
North America,US,Alaska,Anchorage,2,8,1995,34.2,1995-02-08,4708.31,5843.9
North America,US,Alaska,Anchorage,2,9,1995,31.6,1995-02-09,4708.31,5843.9
North America,US,Alaska,Anchorage,2,10,1995,32.8,1995-02-10,4708.31,5843.9
North America,US,Alaska,Anchorage,2,11,1995,30.9,1995-02-11,4708.31,5843.9
North America,US,Alaska,Anchorage,2,12,1995,28.3,1995-02-12,4708.31,5843.9
North America,US,Alaska,Anchorage,2,13,1995,29.8,1995-02-13,4708.31,5843.9
North America,US,Alaska,Anchorage,2,14,1995,27,1995-02-14,4708.31,5843.9
North America,US,Alaska,Anchorage,2,15,1995,24.1,1995-02-15,4708.31,5843.9
North America,US,Alaska,Anchorage,2,16,1995,14.4,1995-02-16,4708.31,5843.9
North America,US,Alaska,Anchorage,2,17,1995,11.6,1995-02-17,4708.31,5843.9
North America,US,Alaska,Anchorage,2,18,1995,11.6,1995-02-18,4708.31,5843.9
North America,US,Alaska,Anchorage,2,19,1995,7.6,1995-02-19,4708.31,5843.9
North America,US,Alaska,Anchorage,2,20,1995,9.6,1995-02-20,4708.31,5843.9
North America,US,Alaska,Anchorage,2,21,1995,18,1995-02-21,4708.31,5843.9
North America,US,Alaska,Anchorage,2,22,1995,13.6,1995-02-22,4708.31,5843.9
North America,US,Alaska,Anchorage,2,23,1995,7.2,1995-02-23,4708.31,5843.9
North America,US,Alaska,Anchorage,2,24,1995,4.4,1995-02-24,4708.31,5843.9
North America,US,Alaska,Anchorage,2,25,1995,4.5,1995-02-25,4708.31,5843.9
North America,US,Alaska,Anchorage,2,26,1995,15.3,1995-02-26,4708.31,5843.9
North America,US,Alaska,Anchorage,2,27,1995,24.3,1995-02-27,4708.31,5843.9
North America,US,Alaska,Anchorage,2,28,1995,23.5,1995-02-28,4708.31,5843.9
North America,US,Alaska,Anchorage,3,1,1995,23.2,1995-03-01,4708.31,5843.9
North America,US,Alaska,Anchorage,3,2,1995,26.4,1995-03-02,4708.31,5843.9
North America,US,Alaska,Anchorage,3,3,1995,19.1,1995-03-03,4708.31,5843.9
North America,US,Alaska,Anchorage,3,4,1995,18.3,1995-03-04,4708.31,5843.9
North America,US,Alaska,Anchorage,3,5,1995,17.7,1995-03-05,4708.31,5843.9
North America,US,Alaska,Anchorage,3,6,1995,24.4,1995-03-06,4708.31,5843.9
North America,US,Alaska,Anchorage,3,7,1995,17.1,1995-03-07,4708.31,5843.9
North America,US,Alaska,Anchorage,3,8,1995,19.8,1995-03-08,4708.31,5843.9
North America,US,Alaska,Anchorage,3,9,1995,20,1995-03-09,4708.31,5843.9
North America,US,Alaska,Anchorage,3,10,1995,18.1,1995-03-10,4708.31,5843.9
North America,US,Alaska,Anchorage,3,11,1995,13.5,1995-03-11,4708.31,5843.9
North America,US,Alaska,Anchorage,3,12,1995,8.2,1995-03-12,4708.31,5843.9
North America,US,Alaska,Anchorage,3,13,1995,4.4,1995-03-13,4708.31,5843.9
North America,US,Alaska,Anchorage,3,14,1995,1.8,1995-03-14,4708.31,5843.9
North America,US,Alaska,Anchorage,3,15,1995,-3.1,1995-03-15,4708.31,5843.9
North America,US,Alaska,Anchorage,3,16,1995,4.6,1995-03-16,4708.31,5843.9
North America,US,Alaska,Anchorage,3,17,1995,18.2,1995-03-17,4708.31,5843.9
North America,US,Alaska,Anchorage,3,18,1995,19.5,1995-03-18,4708.31,5843.9
North America,US,Alaska,Anchorage,3,19,1995,22.5,1995-03-19,4708.31,5843.9
North America,US,Alaska,Anchorage,3,20,1995,21.9,1995-03-20,4708.31,5843.9
North America,US,Alaska,Anchorage,3,21,1995,13.8,1995-03-21,4708.31,5843.9
North America,US,Alaska,Anchorage,3,22,1995,11.3,1995-03-22,4708.31,5843.9
North America,US,Alaska,Anchorage,3,23,1995,10.7,1995-03-23,4708.31,5843.9
North America,US,Alaska,Anchorage,3,24,1995,9.8,1995-03-24,4708.31,5843.9
North America,US,Alaska,Anchorage,3,25,1995,13.2,1995-03-25,4708.31,5843.9
North America,US,Alaska,Anchorage,3,26,1995,21.4,1995-03-26,4708.31,5843.9
North America,US,Alaska,Anchorage,3,27,1995,26.7,1995-03-27,4708.31,5843.9
North America,US,Alaska,Anchorage,3,28,1995,34.8,1995-03-28,4708.31,5843.9
North America,US,Alaska,Anchorage,3,29,1995,38.7,1995-03-29,4708.31,5843.9
North America,US,Alaska,Anchorage,3,30,1995,37.8,1995-03-30,4708.31,5843.9
North America,US,Alaska,Anchorage,3,31,1995,40.5,1995-03-31,4708.31,5843.9
North America,US,Alaska,Anchorage,4,1,1995,39.6,1995-04-01,4708.31,5843.9
North America,US,Alaska,Anchorage,4,2,1995,37.5,1995-04-02,4708.31,5843.9
North America,US,Alaska,Anchorage,4,3,1995,36.1,1995-04-03,4708.31,5843.9
North America,US,Alaska,Anchorage,4,4,1995,39.1,1995-04-04,4708.31,5843.9
North America,US,Alaska,Anchorage,4,5,1995,37.9,1995-04-05,4708.31,5843.9
North America,US,Alaska,Anchorage,4,6,1995,36.3,1995-04-06,4708.31,5843.9
North America,US,Alaska,Anchorage,4,7,1995,36.3,1995-04-07,4708.31,5843.9
North America,US,Alaska,Anchorage,4,8,1995,37,1995-04-08,4708.31,5843.9
North America,US,Alaska,Anchorage,4,9,1995,40.5,1995-04-09,4708.31,5843.9
North America,US,Alaska,Anchorage,4,10,1995,36.7,1995-04-10,4708.31,5843.9
North America,US,Alaska,Anchorage,4,11,1995,38.8,1995-04-11,4708.31,5843.9
North America,US,Alaska,Anchorage,4,12,1995,38.9,1995-04-12,4708.31,5843.9
North America,US,Alaska,Anchorage,4,13,1995,38.8,1995-04-13,4708.31,5843.9
North America,US,Alaska,Anchorage,4,14,1995,39.5,1995-04-14,4708.31,5843.9
North America,US,Alaska,Anchorage,4,15,1995,40.6,1995-04-15,4708.31,5843.9
North America,US,Alaska,Anchorage,4,16,1995,37.9,1995-04-16,4708.31,5843.9
North America,US,Alaska,Anchorage,4,17,1995,40.8,1995-04-17,4708.31,5843.9
North America,US,Alaska,Anchorage,4,18,1995,39.4,1995-04-18,4708.31,5843.9
North America,US,Alaska,Anchorage,4,19,1995,37.8,1995-04-19,4708.31,5843.9
North America,US,Alaska,Anchorage,4,20,1995,40.8,1995-04-20,4708.31,5843.9
North America,US,Alaska,Anchorage,4,21,1995,39.9,1995-04-21,4708.31,5843.9
North America,US,Alaska,Anchorage,4,22,1995,41.3,1995-04-22,4708.31,5843.9
North America,US,Alaska,Anchorage,4,23,1995,43,1995-04-23,4708.31,5843.9
North America,US,Alaska,Anchorage,4,24,1995,41.3,1995-04-24,4708.31,5843.9
North America,US,Alaska,Anchorage,4,25,1995,44.5,1995-04-25,4708.31,5843.9
North America,US,Alaska,Anchorage,4,26,1995,43.4,1995-04-26,4708.31,5843.9
North America,US,Alaska,Anchorage,4,27,1995,41.8,1995-04-27,4708.31,5843.9
North America,US,Alaska,Anchorage,4,28,1995,41.9,1995-04-28,4708.31,5843.9
North America,US,Alaska,Anchorage,4,29,1995,46,1995-04-29,4708.31,5843.9
North America,US,Alaska,Anchorage,4,30,1995,47.4,1995-04-30,4708.31,5843.9
North America,US,Alaska,Anchorage,5,1,1995,50.3,1995-05-01,4708.31,5843.9
North America,US,Alaska,Anchorage,5,2,1995,51.7,1995-05-02,4708.31,5843.9
North America,US,Alaska,Anchorage,5,3,1995,51.6,1995-05-03,4708.31,5843.9
North America,US,Alaska,Anchorage,5,4,1995,47.1,1995-05-04,4708.31,5843.9
North America,US,Alaska,Anchorage,5,5,1995,42.7,1995-05-05,4708.31,5843.9
North America,US,Alaska,Anchorage,5,6,1995,43.1,1995-05-06,4708.31,5843.9
North America,US,Alaska,Anchorage,5,7,1995,43.2,1995-05-07,4708.31,5843.9
North America,US,Alaska,Anchorage,5,8,1995,47.5,1995-05-08,4708.31,5843.9
North America,US,Alaska,Anchorage,5,9,1995,51.1,1995-05-09,4708.31,5843.9
North America,US,Alaska,Anchorage,5,10,1995,57.8,1995-05-10,4708.31,5843.9
North America,US,Alaska,Anchorage,5,11,1995,50.6,1995-05-11,4708.31,5843.9
North America,US,Alaska,Anchorage,5,12,1995,49.1,1995-05-12,4708.31,5843.9
North America,US,Alaska,Anchorage,5,13,1995,51.3,1995-05-13,4708.31,5843.9
North America,US,Alaska,Anchorage,5,14,1995,45.3,1995-05-14,4708.31,5843.9
North America,US,Alaska,Anchorage,5,15,1995,48.4,1995-05-15,4708.31,5843.9
North America,US,Alaska,Anchorage,5,16,1995,46.5,1995-05-16,4708.31,5843.9
North America,US,Alaska,Anchorage,5,17,1995,47.2,1995-05-17,4708.31,5843.9
North America,US,Alaska,Anchorage,5,18,1995,47.6,1995-05-18,4708.31,5843.9
North America,US,Alaska,Anchorage,5,19,1995,48.7,1995-05-19,4708.31,5843.9
North America,US,Alaska,Anchorage,5,20,1995,50.9,1995-05-20,4708.31,5843.9
North America,US,Alaska,Anchorage,5,21,1995,50.8,1995-05-21,4708.31,5843.9
North America,US,Alaska,Anchorage,5,22,1995,50.2,1995-05-22,4708.31,5843.9
North America,US,Alaska,Anchorage,5,23,1995,51,1995-05-23,4708.31,5843.9
North America,US,Alaska,Anchorage,5,24,1995,46.1,1995-05-24,4708.31,5843.9
North America,US,Alaska,Anchorage,5,25,1995,47.8,1995-05-25,4708.31,5843.9
North America,US,Alaska,Anchorage,5,26,1995,49.3,1995-05-26,4708.31,5843.9
North America,US,Alaska,Anchorage,5,27,1995,48,1995-05-27,4708.31,5843.9
North America,US,Alaska,Anchorage,5,28,1995,48.3,1995-05-28,4708.31,5843.9
North America,US,Alaska,Anchorage,5,29,1995,47.7,1995-05-29,4708.31,5843.9
North America,US,Alaska,Anchorage,5,30,1995,47.3,1995-05-30,4708.31,5843.9
North America,US,Alaska,Anchorage,5,31,1995,49.2,1995-05-31,4708.31,5843.9
North America,US,Alaska,Anchorage,6,1,1995,50.6,1995-06-01,4708.31,5843.9
North America,US,Alaska,Anchorage,6,2,1995,49.6,1995-06-02,4708.31,5843.9
North America,US,Alaska,Anchorage,6,3,1995,52,1995-06-03,4708.31,5843.9
North America,US,Alaska,Anchorage,6,4,1995,55.3,1995-06-04,4708.31,5843.9
North America,US,Alaska,Anchorage,6,5,1995,52.8,1995-06-05,4708.31,5843.9
North America,US,Alaska,Anchorage,6,6,1995,50.8,1995-06-06,4708.31,5843.9
North America,US,Alaska,Anchorage,6,7,1995,50.3,1995-06-07,4708.31,5843.9
North America,US,Alaska,Anchorage,6,8,1995,51.5,1995-06-08,4708.31,5843.9
North America,US,Alaska,Anchorage,6,9,1995,53.8,1995-06-09,4708.31,5843.9
North America,US,Alaska,Anchorage,6,10,1995,63,1995-06-10,4708.31,5843.9
North America,US,Alaska,Anchorage,6,11,1995,65.2,1995-06-11,4708.31,5843.9
North America,US,Alaska,Anchorage,6,12,1995,65.8,1995-06-12,4708.31,5843.9
North America,US,Alaska,Anchorage,6,13,1995,57.3,1995-06-13,4708.31,5843.9
North America,US,Alaska,Anchorage,6,14,1995,54.5,1995-06-14,4708.31,5843.9
North America,US,Alaska,Anchorage,6,15,1995,55.2,1995-06-15,4708.31,5843.9
North America,US,Alaska,Anchorage,6,16,1995,54.5,1995-06-16,4708.31,5843.9
North America,US,Alaska,Anchorage,6,17,1995,54.7,1995-06-17,4708.31,5843.9
North America,US,Alaska,Anchorage,6,18,1995,58.6,1995-06-18,4708.31,5843.9
North America,US,Alaska,Anchorage,6,19,1995,60.8,1995-06-19,4708.31,5843.9
North America,US,Alaska,Anchorage,6,20,1995,56.3,1995-06-20,4708.31,5843.9
North America,US,Alaska,Anchorage,6,21,1995,55.3,1995-06-21,4708.31,5843.9
North America,US,Alaska,Anchorage,6,22,1995,59.5,1995-06-22,4708.31,5843.9
North America,US,Alaska,Anchorage,6,23,1995,55.8,1995-06-23,4708.31,5843.9
North America,US,Alaska,Anchorage,6,24,1995,50.3,1995-06-24,4708.31,5843.9
North America,US,Alaska,Anchorage,6,25,1995,54.5,1995-06-25,4708.31,5843.9
North America,US,Alaska,Anchorage,6,26,1995,56.2,1995-06-26,4708.31,5843.9
North America,US,Alaska,Anchorage,6,27,1995,53.3,1995-06-27,4708.31,5843.9
North America,US,Alaska,Anchorage,6,28,1995,58.3,1995-06-28,4708.31,5843.9
North America,US,Alaska,Anchorage,6,29,1995,59.4,1995-06-29,4708.31,5843.9
North America,US,Alaska,Anchorage,6,30,1995,58,1995-06-30,4708.31,5843.9
North America,US,Alaska,Anchorage,7,1,1995,54.8,1995-07-01,4708.31,5843.9
North America,US,Alaska,Anchorage,7,2,1995,56.7,1995-07-02,4708.31,5843.9
North America,US,Alaska,Anchorage,7,3,1995,58.5,1995-07-03,4708.31,5843.9
North America,US,Alaska,Anchorage,7,4,1995,57.7,1995-07-04,4708.31,5843.9
North America,US,Alaska,Anchorage,7,5,1995,63,1995-07-05,4708.31,5843.9
North America,US,Alaska,Anchorage,7,6,1995,62.4,1995-07-06,4708.31,5843.9
North America,US,Alaska,Anchorage,7,7,1995,60.8,1995-07-07,4708.31,5843.9
North America,US,Alaska,Anchorage,7,8,1995,56.4,1995-07-08,4708.31,5843.9
North America,US,Alaska,Anchorage,7,9,1995,58.5,1995-07-09,4708.31,5843.9
North America,US,Alaska,Anchorage,7,10,1995,61.6,1995-07-10,4708.31,5843.9
North America,US,Alaska,Anchorage,7,11,1995,58.3,1995-07-11,4708.31,5843.9
North America,US,Alaska,Anchorage,7,12,1995,60.6,1995-07-12,4708.31,5843.9
North America,US,Alaska,Anchorage,7,13,1995,61.3,1995-07-13,4708.31,5843.9
North America,US,Alaska,Anchorage,7,14,1995,57.4,1995-07-14,4708.31,5843.9
North America,US,Alaska,Anchorage,7,15,1995,56.5,1995-07-15,4708.31,5843.9
North America,US,Alaska,Anchorage,7,16,1995,59.2,1995-07-16,4708.31,5843.9
North America,US,Alaska,Anchorage,7,17,1995,60,1995-07-17,4708.31,5843.9
North America,US,Alaska,Anchorage,7,18,1995,60.4,1995-07-18,4708.31,5843.9
North America,US,Alaska,Anchorage,7,19,1995,62.8,1995-07-19,4708.31,5843.9
North America,US,Alaska,Anchorage,7,20,1995,63.5,1995-07-20,4708.31,5843.9
North America,US,Alaska,Anchorage,7,21,1995,61.5,1995-07-21,4708.31,5843.9
North America,US,Alaska,Anchorage,7,22,1995,57.3,1995-07-22,4708.31,5843.9
North America,US,Alaska,Anchorage,7,23,1995,56.6,1995-07-23,4708.31,5843.9
North America,US,Alaska,Anchorage,7,24,1995,54.7,1995-07-24,4708.31,5843.9
North America,US,Alaska,Anchorage,7,25,1995,53.2,1995-07-25,4708.31,5843.9
North America,US,Alaska,Anchorage,7,26,1995,55.5,1995-07-26,4708.31,5843.9
North America,US,Alaska,Anchorage,7,27,1995,59,1995-07-27,4708.31,5843.9
North America,US,Alaska,Anchorage,7,28,1995,61.1,1995-07-28,4708.31,5843.9
North America,US,Alaska,Anchorage,7,29,1995,57.9,1995-07-29,4708.31,5843.9
North America,US,Alaska,Anchorage,7,30,1995,54.8,1995-07-30,4708.31,5843.9
North America,US,Alaska,Anchorage,7,31,1995,56.3,1995-07-31,4708.31,5843.9
North America,US,Alaska,Anchorage,8,1,1995,57.8,1995-08-01,4708.31,5843.9
North America,US,Alaska,Anchorage,8,2,1995,55.4,1995-08-02,4708.31,5843.9
North America,US,Alaska,Anchorage,8,3,1995,54.7,1995-08-03,4708.31,5843.9
North America,US,Alaska,Anchorage,8,4,1995,57.8,1995-08-04,4708.31,5843.9
North America,US,Alaska,Anchorage,8,5,1995,59.9,1995-08-05,4708.31,5843.9
North America,US,Alaska,Anchorage,8,6,1995,58.4,1995-08-06,4708.31,5843.9
North America,US,Alaska,Anchorage,8,7,1995,56.8,1995-08-07,4708.31,5843.9
North America,US,Alaska,Anchorage,8,8,1995,56.8,1995-08-08,4708.31,5843.9
North America,US,Alaska,Anchorage,8,9,1995,57.3,1995-08-09,4708.31,5843.9
North America,US,Alaska,Anchorage,8,10,1995,54.6,1995-08-10,4708.31,5843.9
North America,US,Alaska,Anchorage,8,11,1995,56.8,1995-08-11,4708.31,5843.9
North America,US,Alaska,Anchorage,8,12,1995,57.5,1995-08-12,4708.31,5843.9
North America,US,Alaska,Anchorage,8,13,1995,54.2,1995-08-13,4708.31,5843.9
North America,US,Alaska,Anchorage,8,14,1995,56.3,1995-08-14,4708.31,5843.9
North America,US,Alaska,Anchorage,8,15,1995,57.7,1995-08-15,4708.31,5843.9
North America,US,Alaska,Anchorage,8,16,1995,58.5,1995-08-16,4708.31,5843.9
North America,US,Alaska,Anchorage,8,17,1995,59,1995-08-17,4708.31,5843.9
North America,US,Alaska,Anchorage,8,18,1995,59.6,1995-08-18,4708.31,5843.9
North America,US,Alaska,Anchorage,8,19,1995,59.3,1995-08-19,4708.31,5843.9
North America,US,Alaska,Anchorage,8,20,1995,60,1995-08-20,4708.31,5843.9
North America,US,Alaska,Anchorage,8,21,1995,61.1,1995-08-21,4708.31,5843.9
North America,US,Alaska,Anchorage,8,22,1995,60.9,1995-08-22,4708.31,5843.9
North America,US,Alaska,Anchorage,8,23,1995,58.4,1995-08-23,4708.31,5843.9
North America,US,Alaska,Anchorage,8,24,1995,59.6,1995-08-24,4708.31,5843.9
North America,US,Alaska,Anchorage,8,25,1995,59.5,1995-08-25,4708.31,5843.9
North America,US,Alaska,Anchorage,8,26,1995,57.5,1995-08-26,4708.31,5843.9
North America,US,Alaska,Anchorage,8,27,1995,56,1995-08-27,4708.31,5843.9
North America,US,Alaska,Anchorage,8,28,1995,56.2,1995-08-28,4708.31,5843.9
North America,US,Alaska,Anchorage,8,29,1995,57.3,1995-08-29,4708.31,5843.9
North America,US,Alaska,Anchorage,8,30,1995,55.7,1995-08-30,4708.31,5843.9
North America,US,Alaska,Anchorage,8,31,1995,54.7,1995-08-31,4708.31,5843.9
North America,US,Alaska,Anchorage,9,1,1995,53.6,1995-09-01,4708.31,5843.9
North America,US,Alaska,Anchorage,9,2,1995,52.4,1995-09-02,4708.31,5843.9
North America,US,Alaska,Anchorage,9,3,1995,56.9,1995-09-03,4708.31,5843.9
North America,US,Alaska,Anchorage,9,4,1995,56.2,1995-09-04,4708.31,5843.9
North America,US,Alaska,Anchorage,9,5,1995,54,1995-09-05,4708.31,5843.9
North America,US,Alaska,Anchorage,9,6,1995,53.9,1995-09-06,4708.31,5843.9
North America,US,Alaska,Anchorage,9,7,1995,53.6,1995-09-07,4708.31,5843.9
North America,US,Alaska,Anchorage,9,8,1995,54.1,1995-09-08,4708.31,5843.9
North America,US,Alaska,Anchorage,9,9,1995,54.5,1995-09-09,4708.31,5843.9
North America,US,Alaska,Anchorage,9,10,1995,52.6,1995-09-10,4708.31,5843.9
North America,US,Alaska,Anchorage,9,11,1995,52.3,1995-09-11,4708.31,5843.9
North America,US,Alaska,Anchorage,9,12,1995,53.1,1995-09-12,4708.31,5843.9
North America,US,Alaska,Anchorage,9,13,1995,55,1995-09-13,4708.31,5843.9
North America,US,Alaska,Anchorage,9,14,1995,49.5,1995-09-14,4708.31,5843.9
North America,US,Alaska,Anchorage,9,15,1995,50.8,1995-09-15,4708.31,5843.9
North America,US,Alaska,Anchorage,9,16,1995,51.9,1995-09-16,4708.31,5843.9
North America,US,Alaska,Anchorage,9,17,1995,54.8,1995-09-17,4708.31,5843.9
North America,US,Alaska,Anchorage,9,18,1995,56.6,1995-09-18,4708.31,5843.9
North America,US,Alaska,Anchorage,9,19,1995,55.1,1995-09-19,4708.31,5843.9
North America,US,Alaska,Anchorage,9,20,1995,56.7,1995-09-20,4708.31,5843.9
North America,US,Alaska,Anchorage,9,21,1995,56.7,1995-09-21,4708.31,5843.9
North America,US,Alaska,Anchorage,9,22,1995,59.5,1995-09-22,4708.31,5843.9
North America,US,Alaska,Anchorage,9,23,1995,54.1,1995-09-23,4708.31,5843.9
North America,US,Alaska,Anchorage,9,24,1995,51.6,1995-09-24,4708.31,5843.9
North America,US,Alaska,Anchorage,9,25,1995,52.3,1995-09-25,4708.31,5843.9
North America,US,Alaska,Anchorage,9,26,1995,52.9,1995-09-26,4708.31,5843.9
North America,US,Alaska,Anchorage,9,27,1995,52.1,1995-09-27,4708.31,5843.9
North America,US,Alaska,Anchorage,9,28,1995,47.6,1995-09-28,4708.31,5843.9
North America,US,Alaska,Anchorage,9,29,1995,47.8,1995-09-29,4708.31,5843.9
North America,US,Alaska,Anchorage,9,30,1995,46,1995-09-30,4708.31,5843.9
North America,US,Alaska,Anchorage,10,1,1995,46.9,1995-10-01,4708.31,5843.9
North America,US,Alaska,Anchorage,10,2,1995,45.9,1995-10-02,4708.31,5843.9
North America,US,Alaska,Anchorage,10,3,1995,46.6,1995-10-03,4708.31,5843.9
North America,US,Alaska,Anchorage,10,4,1995,43.7,1995-10-04,4708.31,5843.9
North America,US,Alaska,Anchorage,10,5,1995,43.9,1995-10-05,4708.31,5843.9
North America,US,Alaska,Anchorage,10,6,1995,39.1,1995-10-06,4708.31,5843.9
North America,US,Alaska,Anchorage,10,7,1995,43.4,1995-10-07,4708.31,5843.9
North America,US,Alaska,Anchorage,10,8,1995,42.7,1995-10-08,4708.31,5843.9
North America,US,Alaska,Anchorage,10,9,1995,44,1995-10-09,4708.31,5843.9
North America,US,Alaska,Anchorage,10,10,1995,44.5,1995-10-10,4708.31,5843.9
North America,US,Alaska,Anchorage,10,11,1995,40.1,1995-10-11,4708.31,5843.9
North America,US,Alaska,Anchorage,10,12,1995,39,1995-10-12,4708.31,5843.9
North America,US,Alaska,Anchorage,10,13,1995,34.3,1995-10-13,4708.31,5843.9
North America,US,Alaska,Anchorage,10,14,1995,31.8,1995-10-14,4708.31,5843.9
North America,US,Alaska,Anchorage,10,15,1995,33.1,1995-10-15,4708.31,5843.9
North America,US,Alaska,Anchorage,10,16,1995,33,1995-10-16,4708.31,5843.9
North America,US,Alaska,Anchorage,10,17,1995,33.3,1995-10-17,4708.31,5843.9
North America,US,Alaska,Anchorage,10,18,1995,32,1995-10-18,4708.31,5843.9
North America,US,Alaska,Anchorage,10,19,1995,35.8,1995-10-19,4708.31,5843.9
North America,US,Alaska,Anchorage,10,20,1995,38.3,1995-10-20,4708.31,5843.9
North America,US,Alaska,Anchorage,10,21,1995,37.8,1995-10-21,4708.31,5843.9
North America,US,Alaska,Anchorage,10,22,1995,37.4,1995-10-22,4708.31,5843.9
North America,US,Alaska,Anchorage,10,23,1995,37.8,1995-10-23,4708.31,5843.9
North America,US,Alaska,Anchorage,10,24,1995,36.7,1995-10-24,4708.31,5843.9
North America,US,Alaska,Anchorage,10,25,1995,35.5,1995-10-25,4708.31,5843.9
North America,US,Alaska,Anchorage,10,26,1995,37.6,1995-10-26,4708.31,5843.9
North America,US,Alaska,Anchorage,10,27,1995,33.3,1995-10-27,4708.31,5843.9
North America,US,Alaska,Anchorage,10,28,1995,29.3,1995-10-28,4708.31,5843.9
North America,US,Alaska,Anchorage,10,29,1995,34.4,1995-10-29,4708.31,5843.9
North America,US,Alaska,Anchorage,10,30,1995,39.2,1995-10-30,4708.31,5843.9
North America,US,Alaska,Anchorage,10,31,1995,35,1995-10-31,4708.31,5843.9
North America,US,Alaska,Anchorage,11,1,1995,38.8,1995-11-01,4708.31,5843.9
North America,US,Alaska,Anchorage,11,2,1995,35.9,1995-11-02,4708.31,5843.9
North America,US,Alaska,Anchorage,11,3,1995,35.3,1995-11-03,4708.31,5843.9
North America,US,Alaska,Anchorage,11,4,1995,32.5,1995-11-04,4708.31,5843.9
North America,US,Alaska,Anchorage,11,5,1995,29.2,1995-11-05,4708.31,5843.9
North America,US,Alaska,Anchorage,11,6,1995,25.6,1995-11-06,4708.31,5843.9
North America,US,Alaska,Anchorage,11,7,1995,20.4,1995-11-07,4708.31,5843.9
North America,US,Alaska,Anchorage,11,8,1995,15.4,1995-11-08,4708.31,5843.9
North America,US,Alaska,Anchorage,11,9,1995,20.2,1995-11-09,4708.31,5843.9
North America,US,Alaska,Anchorage,11,10,1995,25.3,1995-11-10,4708.31,5843.9
North America,US,Alaska,Anchorage,11,11,1995,20,1995-11-11,4708.31,5843.9
North America,US,Alaska,Anchorage,11,12,1995,15.1,1995-11-12,4708.31,5843.9
North America,US,Alaska,Anchorage,11,13,1995,13.5,1995-11-13,4708.31,5843.9
